stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,5.35,1.34,0,0,0,0,0,16.06,1.34,1.34,13.39,1.34,0,0,0,1.34,0,0
3Month,0.32,0.32,17.92,0,0.64,0.32,1.92,0.32,0.64,18.24,0.32,0,0,0,0.32,0,0.32,0,0.96,0.96
22Month,1.09,0,1.64,0,0,0,4.37,0,1.64,3.28,2.19,1.09,0,0,0.55,0.55,0,0,0,0
