stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,24.61,0,3.21,1.07,2.14,1.07,0,0,0,0,0,0,4.28,2.14,0,1.07,0,2.14,0,1.07,4.28,0,1.07,0,0,0,0,0,0
21Day,6.69,0,18.74,0,0,0,0,0,0,0,2.68,1.34,0,1.34,0,1.34,0,0,4.02,1.34,2.68,1.34,1.34,1.34,0,1.34,0,0,0
3Month,10.24,0.32,0.64,0,0,0,0.32,0,1.28,0.32,0,0,0,0,0.64,0,0,0,0,0,0.32,0,0,0.32,16.64,0,0.64,0.96,0.32
22Month,1.09,0,1.64,0,0,0,0,0.55,2.19,0,0,1.09,0,0,0.55,0,0.55,0,1.09,0,0,0.55,0,0,10.39,0,0,0,1.09
