stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,4.09,12.26,0,0,16.35,114.42,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,19.26,0,0,1.07,2.14,0,0,0,0,0,0,0,0,6.42,0,8.56,0,0,172.24,18.19,0,0,4.28,0,0,32.09,0,0,1.07,0,0,0
21Day,9.37,0,2.68,1.34,4.02,0,0,1.34,0,1.34,0,0,1.34,2.68,1.34,2.68,0,0,92.36,18.74,0,2.68,1.34,2.68,0,48.19,9.37,2.68,0,0,0,0
3Month,0,0.32,3.2,0.32,0,0,0.32,0.32,0,2.56,0,1.6,0,0,0.32,2.56,0,0,1.6,0.96,0,3.52,0,0,3.2,3.84,0,0,0.64,0.32,0.64,0.32
22Month,0.55,0.55,0.55,0,0,0.55,0,0,0,25.15,0.55,2.19,0,0.55,1.64,1.09,1.64,0.55,4.37,1.09,1.09,1.09,0,0,3.83,13.67,1.64,0,0,0,0,0
