stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,11.77,0,1.07,0,0,0,0,0,0,0,0,0,13.91,1.07,0,6.42,0,0,0,13.91,6.42,6.42,1.07,0,0,2.14,0,0,1.07,0,0,0
21Day,2.68,2.68,20.08,0,1.34,0,0,1.34,0,0,1.34,0,0,0,0,1.34,0,6.69,0,0,1.34,0,6.69,1.34,0,0,0,1.34,1.34,4.02,0,0,0,1.34
3Month,1.6,8.32,53.11,0.32,0,0.32,0.32,52.15,2.24,0,14.4,0.96,0,14.4,5.76,2.56,1.28,2.56,2.24,0,33.91,9.6,3.52,0,2.56,0,0,0,1.92,27.84,0,0.64,5.12,1.28
22Month,1.09,3.28,13.67,0,0,0,0,14.21,1.09,2.73,18.59,0.55,0.55,13.67,0,0.55,4.92,3.28,0,1.64,10.93,2.19,1.09,0,2.73,0.55,19.68,0,0,43.19,0.55,0,0,1.09
