stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,8.17,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,4.28,5.35,0,1.07,0,0,16.05,0,0,0
21Day,5.35,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,5.35,0,0,0
3Month,3.2,0.32,0.32,0.64,0.32,0.32,0.32,1.92,0.64,0,0,0.32,0,0.32,4.48,0,0.96,0.64,0.32
22Month,1.64,0,0.55,2.73,0,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0
