stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,9.37,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.64,1.92,6.08,0,9.28,0.96,2.56,2.88,0,463.29,3.2,0,8,1.28,1.92,3.2,2.56,0.32,1.28,2.24,0.96,0,0.32,0.32,0,8.96,0.64,0,1.92,2.24,1.92
22Month,0,0.55,1.09,2.19,0,4.92,2.19,0,1.64,0.55,473.4,1.09,0.55,2.73,0,0.55,0.55,2.73,0,9.84,0.55,0,1.09,0,0.55,0.55,1.64,0.55,0.55,0,0,0.55
