stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
72hpf,1.07,0,1.07,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,1.34,0,0
3Month,0.96,0.32,0.64,0.32,0.32,0.32,0.32,0.32,1.28,0,2.88,0.32
22Month,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0
