stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0.96,0,0.32,2.24,0,0.96,0.32,0.96,0.32,0.64,0,4.48,0.32,0,0.32,9.6,12.16,0.64
22Month,0,0,0,0,4.37,0.55,0.55,0,0,0,0,0,3.28,0,0.55,0.55,0,0,1.09
