stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
72hpf,1.07,0,0,0,0,0,0,0,0,41.72,0,1.07,0,0
21Day,0,0,4.02,0,1.34,0,0,0,0,18.74,1.34,0,1.34,0
3Month,0,0,0.96,2.88,0.96,0.32,0.32,0.64,0.32,0,0,0.32,0,0.32
22Month,0,0.55,0.55,0.55,3.83,0,0.55,0,0,0,0,0,0,0
