stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,20.43,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,1.07,0,0,0,0,1.07,0,0,0,0,0,10.7,0,4.28,0,0,0,2.14,0,2.14,1.07,0,1.07,0,0,0,0
21Day,0,0,20.08,0,0,0,0,0,0,0,0,0,0,0,10.71,2.68,5.35,0,2.68,0,1.34,0,1.34,0,0,1.34,1.34,0,0,0
3Month,0.64,0,15.68,0,0.32,0.64,0.32,0.32,4.8,3.84,3.2,0,0.96,0.64,10.24,4.16,4.8,0.64,1.28,0.32,0,0,0,0,0.64,0,0,1.28,0.32,0.96
22Month,1.09,0.55,6.01,0,0,0.55,0,1.09,10.39,7.11,1.64,0.55,1.64,0,0.55,6.01,2.73,0,1.09,0,0,0.55,0,0,2.19,0.55,0,0,0,1.64
