stage,Endothelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,9.63,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,5.35,0,0,2.68,20.08,1.34,0,9.37,1.34,0,0,2.68,1.34,1.34,0,1.34,0,0,21.42
3Month,1.28,0,1.92,1.28,11.2,0.32,0.32,0.32,2.88,1.28,0.32,0,0,0,0,0.32,0,1.28,0.32,9.28
22Month,4.37,1.64,2.73,3.83,12.57,0.55,0,0,5.47,1.09,0,0.55,0,0,0,0,0,1.09,0,2.73
