stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,89.9,0,0,0,0
72hpf,2.14,2.14,0,0,0,0,0,4.28,2.14,135.86,50.28,3.21,0,5.35,0
21Day,0,2.68,0,0,0,2.68,0,0,0,50.86,16.06,1.34,1.34,1.34,0
3Month,0.64,0,0,0,0,0,0.64,0,0.32,0,0.32,0,0,0,0.32
22Month,0.55,0,0.55,0.55,3.28,0,0.55,0,0.55,0,0,0,0,0,0
