stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,20.43,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,4.09,44.95,0,0,0,0,8.17,347.34,0,0,4.09,0,0,0,4.09,0,0
72hpf,4.28,2.14,0,5.35,3.21,0,0,0,0,0,0,0,0,0,0,1.07,10.7,3.21,19.26,0,0,1.07,1.07,62.05,52.42,0,0,4.28,0,0,6.42,3.21,0,0
21Day,6.69,0,1.34,16.06,0,2.68,0,0,0,0,0,0,0,4.02,0,1.34,2.68,0,20.08,0,0,5.35,0,6.69,6.69,0,2.68,0,4.02,0,1.34,1.34,0,0
3Month,0,0,0,2.88,0,0,0.32,0.32,0.64,0,0,1.6,0.32,0.64,0.96,0.32,0.96,0.32,0.64,0.32,0,0,0,0,0,0,0.32,0,0.32,2.56,0.64,0.32,0.32,0.64
22Month,0,1.64,0,4.37,0,0,0,1.09,0.55,0.55,0,20.23,1.64,1.64,5.47,0.55,0.55,4.37,6.56,0,0.55,0.55,0.55,1.09,0.55,0.55,0.55,0.55,0,9.84,1.09,0,0,0
