stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,1.34,1.34,0,2.68,6.69,1.34,0,1.34,0,1.34,0,5.35,0,32.12,0,13.39,1.34,4.02,1.34,0,1.34,0,1.34
3Month,0,0,2.24,0.96,0,0,0.96,0.64,0.96,0,1.6,0.64,0.32,21.12,0.32,0,0,0,0,6.4,0,0.32,1.28
