stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,2.68,2.68,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0,0.64,4.48,0,0,0.96,0.96,0,6.72,1.28,0,1.28,0.32,1.28,5.44,0,0.64,0.32,0.32,0.32,1.28,0.64,1.6,1.6
22Month,0.55,0,3.83,0,0,0.55,3.28,0.55,15.85,0.55,0,0.55,0,0,2.19,0.55,0,0,0,0,0,0,0,1.09
