stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,2.68,0,0,0,13.39,0,0,5.35,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,0,4.02
3Month,0.32,3.2,0.64,0.64,25.28,0,2.24,5.12,2.24,0.64,1.28,10.24,0.64,0.64,0.64,0.96,0,0,0.64,0.32,0.64,0,0,0.32,0.32,13.12
22Month,0.55,0.55,0.55,0,22.41,1.09,15.31,7.11,1.64,1.64,0.55,20.23,0,0,0.55,0,0.55,0.55,0,0,0,0.55,0,0,0,3.28
