stage,Epithelial_cell,Granulosa_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell
72hpf,0,0,0,12.84,0,0
21Day,0,0,0,5.35,1.34,2.68
3Month,0.32,0,0,5.12,0,0
22Month,0.55,0.55,0.55,0,0,0
