stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,110.33,0,0,0,0,0,0,0,0,0,0,32.69,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,1.07,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,22.76,0,0,1.34,0,0,1.34,0,2.68,0,0,0,0,0,0,0
3Month,0.64,1.28,0,24.32,0.64,0.64,2.56,0.96,5.12,4.48,1.28,0.32,1.28,0.32,27.2,1.6,112.62,46.07,0,1.6,0.64,0.96,2.56,3.2,0.32,2.24,6.08,0,0,1.6,0.96,0.64
22Month,0,2.19,0.55,8.75,0,2.19,1.09,0,2.19,12.03,0,0,1.64,1.09,2.19,3.28,103.86,3.28,0.55,1.64,0,0,2.19,0.55,0,0.55,2.73,0.55,1.09,0,0,0.55
