stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
21Day,6.69,1.34,1.34,0,0,0,0,0,1.34,0,1.34,4.02,159.29,4.02,0,1.34,1.34,0,1.34,0,1.34,0,1.34
3Month,0,2.24,0,0.32,0.32,0,0.96,0.32,0,0.64,0,0.32,26.56,0.64,0.32,0.32,0,0,0,0.64,0,0.64,0
22Month,0,0,0,0,1.64,1.09,6.56,0,0,0.55,0,0,31.16,0,0,0,0,0.55,0.55,16.95,0,0,0.55
