stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,24.52,0,0,24.52,0,0,0,4.09,4.09,93.99,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,8.56,0,0,0,0,0,0,0,0,0,0,1.07,3.21,5.35,2.14,0,0,0,1.07,81.3,64.19,7.49,0,0,0,1.07,0,35.3,0,12.84,0,0,0
21Day,0,0,0,10.71,0,1.34,0,0,0,0,0,0,4.02,0,1.34,1.34,16.06,9.37,0,0,0,0,24.09,2.68,0,0,0,1.34,0,1.34,5.35,1.34,6.69,0,0,0
3Month,0,2.24,0,83.19,0.96,0.32,0.32,0.32,2.56,0.96,15.04,8,0.32,6.08,24,4.48,38.07,7.04,1.28,0.32,1.6,2.88,25.92,0.32,0.32,0.64,0,0.32,1.6,44.47,0.32,0,0.96,1.6,417.21,1.92
22Month,0,2.19,1.09,57.4,0,0.55,0,0.55,7.65,2.19,66.69,7.11,0,3.28,7.11,2.19,36.63,16.95,0,0.55,0.55,1.09,9.84,1.64,3.83,1.09,1.09,0,0,20.77,3.83,0,0.55,0.55,2.73,1.09
