stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,4.09,44.95,0,4.09,0,0,0,0,0,0,0,0
72hpf,13.91,4.28,11.77,4.28,6.42,0,0,0,0,1.07,0,0,0,1.07,14.98,1.07,193.63,0,3.21,3.21,363.73,404.38,9.63,226.8,0,0,74.89,0,0,12.84,0,0
21Day,10.71,1.34,17.4,1.34,5.35,0,1.34,0,0,0,0,2.68,1.34,1.34,6.69,0,196.76,1.34,0,4.02,109.76,133.85,4.02,163.3,4.02,0,4.02,0,1.34,0,0,0
3Month,0,1.6,0.96,0,0,0,0.32,2.56,0,4.48,0.32,0,1.28,0,0.32,0,15.68,10.24,0,0.32,0,0.32,0.64,0,0.64,0.64,0,0,0,0,4.8,0.96
22Month,0,3.28,1.09,0,0,0.55,0.55,1.64,0.55,17.49,1.09,0,1.09,0,1.09,0,31.16,1.09,0,0,2.19,0,0.55,0,0,0,7.11,0.55,0,0.55,0,0
