stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,13.91,2.14,1.07,0,0,0
21Day,0,8.03,0,0,0,0,4.02,0,6.69,0,2.68,0,4.02,0,0,2.68,1.34,0
3Month,0.96,0.32,0.32,0,1.92,0,0,0.64,0,0,0,0.32,0,0,0,0,1.6,0.64
22Month,0.55,0,0.55,0.55,4.92,1.09,0,1.09,3.83,1.09,0,0.55,0,0,0,0,1.09,0
