stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,6.42,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,2.14,7.49,0,0,2.14,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,0,0,0,4.02,0,0,0,1.34,6.69,0,1.34,0,0,0,0,0
3Month,0,6.08,0.32,2.24,0,0,0,0.96,0.64,0,4.48,0.64,1.6,0.64,0.32,0,0.32,0.32,0,0,2.56,0.32,4.16,0.32
22Month,0,5.47,0,1.64,2.19,0.55,1.09,1.64,0,0.55,2.19,0.55,1.64,0,0,0,0,0,0,0,0,0,0,0.55
