stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,T_cell
72hpf,0,0,0,0,0,1.07,0
21Day,1.34,0,1.34,1.34,0,1.34,0
3Month,0,0,0,0.32,0,0,0.64
22Month,0,1.09,0,0,0.55,0,0
