stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,3.21,0,0,0,0,0,0,1.07,1.07,1.07,4.28,0,0,396.89,7.49,0,10.7,8.56,0,0,7.49,0,0,0,0
21Day,2.68,0,0,2.68,0,4.02,1.34,2.68,0,2.68,0,0,0,2.68,4.02,21.42,0,5.35,204.8,5.35,1.34,8.03,5.35,1.34,0,6.69,2.68,2.68,0,1.34
3Month,0,0.32,0.32,0.64,0,0,0,1.92,0,0.96,1.6,0.64,0.32,0.32,0.96,1.28,0.32,0.32,0.32,0,0,0,0,0,3.84,0,0,0,13.12,0
22Month,0,0,0,0,0.55,0,0,3.83,0.55,9.84,0,1.64,0,0,0.55,2.19,0,0,0.55,0,0.55,0.55,0,0,0,0.55,0,0,0,0
