stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0
3Month,0.32,0.96,0,0,1.6,0,0,0.96,0.32,0,0.64,0.32,0,0,0,0,0.32,12.48,0.32,0.32,0.64
22Month,0,2.19,0.55,1.09,10.39,0.55,0.55,1.09,0,1.09,0,0,0.55,0,1.09,4.92,0,17.49,0.55,0,0.55
