stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,4.09,0,4.09
72hpf,0,0,0,0,0,0,4.28,0,0,0
21Day,1.34,0,0,0,0,0,13.39,0,0,0
3Month,0,0.32,0,0,0.32,0,0,0,0,0
22Month,0,0,0.55,6.01,0.55,0.55,0,0,0.55,0
