stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,4.02,1.34,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0.96,0.96,255.32,3.2,0,5.76,18.88,0,49.27,38.07,0.64,21.12,4.8,1631.1,11.52,14.08,10.56,0,4.8,2.56,1.6,0.64,1.92,0.96,0,0.96,10.24,11.84,0.32,0.32,3.84,9.28,6.08
22Month,1.09,2.73,1.09,145.96,2.73,1.09,3.83,80.9,2.19,107.69,22.41,1.09,8.2,2.73,833.65,16.4,17.49,0,3.28,2.19,0.55,2.19,0,1.64,2.73,3.28,0,0,0,0,0,1.09,0,2.19
