stage,Epithelial_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,16.35,0,4.09,0
72hpf,0,0,1.07,1.07,1.07,1.07
21Day,2.68,0,0,0,0,0
