stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,8.17,61.3,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,7.49,1.07,0,0,1.07,0,0,0,0,1.07,5.35,211.82,2.14,1.07,0,14.98,1.07,0,2.14,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,38.82,0,0,0,4.02,0,0,0,0,0,8.03,144.56,4.02,1.34,0,4.02,0,0,1.34,0,1.34,0,1.34,2.68,0,0,0,0
3Month,0.32,0.64,0.64,51.51,0,0.96,0,24.32,0,0,2.88,1.6,0.32,15.04,5.12,7.68,1.92,0.32,1.92,0,0.32,0,0.32,5.76,0,0,0,0,1.6,2.88,1.92
22Month,0,1.09,1.64,11.48,0,0,0.55,60.68,3.28,0,19.13,0,2.19,2.19,1.09,3.83,3.83,0,0.55,0,0.55,0,0,4.92,0,0,0,0.55,0.55,0,1.09
