stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,5.35,0,3.21,0,0,0,29.95,8.56,1.07,0,0,1.07,0,0,0,1.07,0,0,0
21Day,6.69,0,0,9.37,1.34,12.05,0,6.69,0,0,0,0,6.69,0,6.69,0,0,1.34,0,8.03,0,1.34,0,18.74,9.37,0,0,0,1.34,2.68,0,0,0,0,0,1.34
3Month,0.32,1.28,0,10.24,0,0,0.96,0.96,0.32,2.56,4.16,0,22.08,2.88,0,5.76,1.6,1.6,2.56,2.24,0.64,3.52,1.6,0.96,0,0.96,0.64,0,0,1.28,27.2,0,0,1.6,32.31,2.56
22Month,0.55,0.55,0.55,1.09,0,0,0,1.09,0,0.55,3.83,0.55,44.28,1.64,0.55,2.73,0,0.55,4.37,0.55,0.55,0.55,0,0.55,0,1.09,0.55,1.09,0,0,9.29,1.09,0,0.55,0,0.55
