stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,24.52,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,0,0,8.17,8.17,0,0,0,0,0,0,0,0
72hpf,3.21,0,3.21,0,0,0,0,0,0,0,8.56,2.14,0,1.07,0,0,0,0,10.7,2.14,0,0,5.35,0,0,1.07,0,0
21Day,0,1.34,21.42,0,0,0,0,0,1.34,0,0,9.37,0,5.35,0,0,1.34,0,4.02,0,0,0,1.34,1.34,0,0,0,1.34
3Month,0.32,0,10.24,0.32,0,0,1.6,0,0,0.64,0,1.28,0.32,0.96,0.64,0,0.32,0.64,0,0,0,0,0.64,0,0,0,1.6,0.32
22Month,4.37,1.64,12.57,0.55,6.56,8.2,53.57,5.47,1.64,2.73,1.09,1.64,4.37,16.95,0.55,1.09,1.09,0,0.55,0,0.55,249.82,0.55,0,0.55,0,0,1.64
