stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,0,0,118.51,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,6.42,0,4.28,0,0,0,0,22.47,6.42,0,0,0,5.35,0,0,1.07,1.07,0,0,0
21Day,1.34,0,0,8.03,0,2.68,0,0,0,0,0,0,1.34,4.02,0,4.02,0,9.37,0,0,0,0,2.68,6.69,0,0,0,1.34,0,0,0,4.02,0,0,0
3Month,0,1.6,1.92,17.28,0.32,0,0,2.56,1.28,0.32,21.44,1.6,0.32,27.52,1.92,8,1.6,6.08,1.92,0.32,0,2.24,0,0,1.28,0.96,0,0.32,0.96,0.32,60.47,1.6,0.32,9.6,3.2
22Month,0.55,0.55,2.73,7.11,0,0,0.55,0.55,1.64,11.48,32.25,0,1.09,26.79,0.55,2.19,2.19,4.92,0,1.09,0.55,0,0.55,0,1.09,0.55,2.19,0,0,0,9.29,0,0,0,0.55
