stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,8.32,0.32,0,3.2,1.6,0,17.28,2.88,0.32,9.92,1.92,0.96,2.56,2.24,1.6,0.96,1.28,0,0,0.32,0.32,0.32,0.96,2.56,0,0.64,0.32,2.56
22Month,0,2.19,7.65,0,0.55,1.09,8.75,2.19,22.41,4.37,1.09,6.01,0.55,1.09,3.28,1.64,0,0,0,0.55,0,0,0,0,0,1.64,0.55,1.64,0,2.73
