stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,24.52,12.26,53.12,0,0,4.09,0,0,0,4.09,0,8.17,20.43,44.95,61.3,0,0,0,134.85,874.49,4.09,0,12.26,0,0,0,0,0,0,0
72hpf,36.37,9.63,14.98,2.14,21.4,0,0,0,0,1.07,0,9.63,34.23,7.49,74.89,0,5.35,1.07,3298.17,171.17,0,5.35,64.19,0,0,40.65,0,3.21,4.28,0
21Day,21.42,1.34,18.74,4.02,17.4,2.68,4.02,1.34,0,5.35,8.03,1.34,10.71,4.02,99.05,0,9.37,0,1127.04,77.63,2.68,1.34,30.79,33.46,1.34,9.37,5.35,14.72,1.34,4.02
3Month,0,0.32,1.6,0,0,0,0,2.24,0.32,0,0.64,0.32,0.32,0.64,1.6,0.32,0,0.32,0,0,0,0,0,0.32,0,0.32,0,0,0.32,0.64
22Month,0,1.09,0,0,0,0.55,0.55,10.93,0,0,1.09,0,0.55,0.55,0.55,0,1.09,0,1.64,0,0.55,0.55,0,0,0,0,0,0,0,0.55
