stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,7.49,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,1.07,0,0,0,8.56,17.12,0,0,1.07,0,0,0,0,2.14,0,0
21Day,0,10.71,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,1.34,14.72,0,0,1.34,18.74,37.48,4.02,0,2.68,0,1.34,1.34,1.34,5.35,0,0
3Month,0.32,6.08,2.88,0.32,0,0.32,0,0.64,0,6.08,0.32,0,1.6,0.64,0.64,1.6,17.92,1.6,0,0.64,0.64,0.32,6.72,0,1.6,0.32,2.88,1.28,0,10.88,0.32,0.96
22Month,1.09,14.76,8.75,0,0,1.09,0.55,3.28,1.09,34.44,0,0.55,1.64,0,0,1.09,55.21,0,1.09,0,0,1.09,41.55,1.64,0,0,6.56,10.93,0.55,3.28,0,0.55
