stage,Cardiomyocyte,Epithelial_cell,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,8.17,0,0,0,4.09,0
72hpf,1.07,0,0,1.07,1.07,0,54.56,3.21,1.07,1.07,0,0,0
21Day,0,0,0,0,0,1.34,28.11,1.34,0,0,1.34,0,1.34
3Month,0,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0
