stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,6.69,0,0,0,0,1.34,0,1.34,0,0,0,20.08
3Month,0,0.64,0,0.96,0,0.32,0,0.32,0.32,0,0,0,8,0,0.96,1.28
22Month,0,0.55,0.55,10.39,0,1.64,0.55,0,0,0.55,1.09,0,13.67,0.55,0,3.28
