stage,Cardiomyocyte,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,8.17,0,0,0,0,0,4.09,0,0,0,4.09,0,0
72hpf,3.21,1.07,1.07,0,0,0,0,11.77,0,20.33,0,5.35,0
21Day,2.68,0,0,0,0,0,0,5.35,0,9.37,0,0,0
3Month,0,0,0,0.32,0,0.64,0,0.32,0.96,0,0,0,0.32
22Month,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0
