stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,2.14,6.42,0,0,0,0,0,0,0,0,0,3.21,17.12,2.14,9.63,4.28,0,1.07,995.98,125.17,2.14,0,13.91,0,4.28,8.56,2.14,2.14,0,0
21Day,0,8.03,0,5.35,0,1.34,0,0,0,0,0,1.34,1.34,0,10.71,1.34,9.37,0,0,0,236.92,64.25,0,1.34,4.02,9.37,6.69,1.34,4.02,1.34,0,0
3Month,0,5.12,0,0,0.64,0,1.28,1.92,0,9.92,5.76,0.64,2.24,0,2.56,1.28,2.24,0,0.32,0,1.28,0,1.28,0,0,0.64,39.35,0,0,0,10.56,0
22Month,0,4.92,0,0,1.09,0,0,2.19,1.64,58.49,0.55,0.55,3.83,0,3.83,4.37,3.28,2.19,0,0,1.09,0,2.19,0,0,0.55,92.38,0,0,0,0,1.09
