stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0
21Day,30.79,2.68,1.34,0,0,0,0,0,4.02,21.42,0,5.35,1.34,0,0,0
3Month,31.67,0,0.64,1.92,0.32,0.32,1.28,2.24,1.92,3.2,0.32,0.32,0,1.28,0,0.96
22Month,7.65,0,0,0.55,0.55,0,0,0,0,1.64,0.55,0,0,0,0,0
