stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,0,8.17,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,20.43,412.73,0,0,0,0,20.43,813.19,0,0,171.63,0,0,0,0,0,0,0,0
72hpf,25.67,2.14,0,16.05,5.35,17.12,0,0,0,0,0,0,0,0,0,4.28,0,5.35,26.74,5.35,1401.43,1.07,1.07,1.07,0,138,75.96,0,0,912.53,0,0,22.47,0,0,0,0,0
21Day,20.08,2.68,2.68,26.77,2.68,42.83,0,8.03,0,0,0,0,0,6.69,1.34,25.43,8.03,1.34,33.46,4.02,2385.27,13.39,0,20.08,0,44.17,22.76,2.68,1.34,516.67,54.88,2.68,6.69,9.37,10.71,0,0,10.71
3Month,2.24,8.32,0.64,35.83,0.64,0,5.12,0.32,30.72,7.04,67.19,0,0,49.27,10.88,8.32,14.4,2.88,14.08,24,1710.13,846.27,0.64,12.8,5.12,3.2,0.32,1.92,0.64,132.78,12.16,14.4,1.92,0.96,0,5.12,12.16,18.88
22Month,0,15.31,4.37,14.76,0.55,0,13.67,0,12.03,2.73,33.35,4.37,0,95.66,6.56,5.47,9.84,1.64,2.73,21.32,2417.31,157.44,4.37,11.48,0,1.09,1.09,0.55,1.64,38.27,1.09,19.68,2.19,0.55,0,4.37,0,9.29
