stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,20.43,4.09,0,4.09,24.52,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,2.14,0,0,0,0
21Day,0,1.34,1.34,6.69,1.34,0,1.34,0,1.34,0,4.02,0,6.69,0,1.34,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32,0
22Month,0,0,0,1.09,6.56,0.55,50.29,0.55,0,8.2,1.09,0.55,0,0,0,0,0,4.92
