stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,20.43,0,0,0,0,0,0,24.52,4.09,4.09,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,9.63,0,0,0,0,0,0,53.49,0,3.21,0,5.35,2.14,0,0,0,0,0
21Day,0,0,0,62.91,0,0,0,0,0,4.02,48.19,1.34,2.68,1.34,2.68,2.68,2.68,0,1.34,0,1.34
3Month,0,0,0,11.2,0.64,0.64,1.6,0.96,1.6,0,2.88,3.52,0.32,0,0,0,0,0,0,0.32,0.96
22Month,0,0,1.09,1.64,0.55,0.55,3.28,0,2.19,0,0,1.09,0,0,0,0,0,0.55,0,0,0
