stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,8.17,0,20.43,0,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,1.34,0,1.34,0,0,0,1.34,4.02,0,1.34,1.34,1.34,2.68,1.34,0,0,4.02,1.34,0,0,1.34,0
3Month,0.64,0,1.28,0,0.32,3.2,0,0.32,0,0,0.96,2.56,0.32,0.32,0,0,0,0.32,0,0,0,0.96,0,0,0.96
22Month,0.55,0.55,1.64,0,1.09,1.64,0.55,12.03,2.19,0.55,2.73,4.37,7.11,0,0.55,0.55,0,0.55,0.55,0,0,4.92,0.55,0,0
