stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,4.09,4.09,0,4.09,0,0,8.17,4.09,8.17,0,77.64,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,7.49,7.49,1.07,1.07,0
21Day,0,1.34,5.35,0,1.34,0,0,0,2.68,1.34,8.03,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.64
22Month,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0
