stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0
21Day,0,0,0,0,1.34,2.68,0,0,0,0,0,0,0,1.34,0,6.69,1.34,0,0
3Month,0,0.32,0.32,0.96,0,2.24,0,2.88,0.32,0.96,0.64,0,0,2.56,0.32,0,0,0,0.32
22Month,0,0,0,3.83,0,1.64,0.55,9.84,0,7.65,0,1.09,0.55,1.64,0,0.55,0,0.55,0
