stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,1.07,0,0,0
21Day,0,6.69,0,0,0,1.34,0,0
3Month,0.32,7.04,0.32,0.32,0,0,0.32,0.32
