stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,0,16.35,0,0
72hpf,2.14,0,0,0,0,0,1.07,0,2.14,0,7.49,0,0,0
21Day,0,1.34,1.34,0,0,0,1.34,0,5.35,1.34,2.68,0,0,0
3Month,0,0.64,0,0.32,3.52,0.64,0.32,0.32,0.64,0.32,0,0,1.28,0.32
22Month,0,0.55,0,0.55,5.47,0.55,0.55,0,0.55,0,0,0,0,0
