stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,1.28,2.56,0.32,4.16,0,4.8,0.96,59.19,0.32,0.96,0.96,0,0,0.32,3.2,0.32,0.32,0.32,1.6,0.32,0.64
22Month,0,2.19,0.55,0,3.83,0.55,8.75,0.55,72.71,0,0,0,0.55,0.55,0.55,0.55,0,0,0,0,0,0
