stage,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,155.28,0,4.09,0
72hpf,0,0,0,2.14,0,0,0
21Day,1.34,0,0,6.69,0,0,0
3Month,0,0,0,1.6,0,0,0.32
22Month,0,0.55,0.55,21.32,0.55,0,0
