stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,371.86,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0
72hpf,2.14,0,0,7.49,0,0,0,0,0,0,0,1.07,357.31,2.14,2.14,0,0,31.02,8.56,0,0,0,7.49,0,1.07,1.07,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,0,6.69,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0,0.32,5.76,0,0.32,0.96,7.68,0.64,0,0.64,0.32,0.96,0.32,1.6,0,0,0.32,0,0.32,0.32,0,0,0.96,9.6,0,1.28,0.64
22Month,0,1.09,20.23,3.28,0.55,3.83,1.64,21.32,0.55,0.55,2.73,1.09,0,3.28,3.83,1.64,0.55,0,0,0,0,0.55,0,0,4.37,0,0,0.55
