stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,20.43,4.09,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,14.98,2.14,0,0,0,10.7,0,8.56,2.14,3.21,4.28,0
21Day,1.34,0,12.05,1.34,0,0,0,8.03,0,14.72,0,0,0,1.34
3Month,0,0,0.96,0,0,0.64,0,2.56,0.32,0.32,0,0,0,0
22Month,0,0,0,0,0.55,3.28,0.55,0.55,0.55,0,0,0,0,0
