stage,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,1.07,21.4,0,0,0
21Day,0,2.68,1.34,0,22.76,0,1.34,1.34
22Month,2.19,0,0,0,0,0,0,0
