stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,3.21,1.07,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0.96,0,7.04,0,5.44,0.32,0.32,0,0,0.32,0.32,0,5.76,0.32,3.84,0.64
22Month,0,0.55,0.55,0.55,9.84,0.55,3.83,0,0.55,1.09,0.55,0,0,0,3.83,0,0,0
