stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,4.09,0,8.17,4.09,0,0,0,0,4.09,0,0,147.11,0,0,0
72hpf,2.14,0,1.07,0,0,0,2.14,0,3.21,1.07,3.21,8.56,0,1.07,0
21Day,1.34,0,6.69,0,0,2.68,0,1.34,9.37,1.34,1.34,5.35,2.68,1.34,1.34
22Month,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0
