stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,12.05,1.34,1.34,0,0,0,0,0,0
3Month,0.64,0.64,8.32,0.64,0.64,1.6,3.52,0.64,0.64,9.92,0.32,2.88,1.92,1.28,0.32,1.28,0.64,0.32,1.6,1.92
22Month,0,0,0.55,0,0,0,7.11,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0.55
