stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,1.07,0,2.14,3.21,5.35,0,0,1.07,0,0,0,0,0,11.77,1.07,6.42,0,3.21,0,0,838.72,51.35,0,18.19,0,10.7,0,0,14.98,0,0,1.07,0,0,0
21Day,5.35,1.34,0,4.02,0,1.34,1.34,0,0,0,1.34,0,2.68,2.68,4.02,0,14.72,0,0,2.68,0,281.09,22.76,0,1.34,0,1.34,12.05,2.68,12.05,1.34,1.34,0,0,0,2.68
3Month,0,0.32,0,15.68,0,0,0,1.6,1.28,0,6.08,0.96,0.64,3.84,1.92,1.6,9.28,0.32,0,1.28,1.6,51.83,2.88,8.96,0.64,0,0.32,3.2,87.67,0.96,0,0,0,0.96,7.36,1.6
22Month,0,1.64,1.09,22.41,0,0,0,1.09,3.28,1.09,65.05,3.28,1.64,6.01,1.09,4.37,7.11,0,1.64,0,0.55,31.16,2.19,17.49,3.28,2.19,0,1.64,77.08,2.19,0,0,0,0,0,2.19
