stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,16.35,0,32.69,65.38,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,24.52,163.46,0,0,0,2541.74,621.13,0,0,0,12.26,0,0,0,0,8.17,0,0,0
72hpf,110.19,17.12,0,53.49,194.7,115.54,0,6.42,0,1.07,1.07,0,1.07,0,4.28,0,13.91,222.52,17.12,114.47,5.35,3.21,1.07,9263.32,369.08,1.07,18.19,0,166.89,0,0,70.61,8.56,7.49,0,0,0
21Day,8.03,0,1.34,56.22,105.74,12.05,0,5.35,0,0,0,0,2.68,1.34,6.69,6.69,6.69,38.82,2.68,70.94,1.34,4.02,0,1006.58,14.72,0,1.34,0,16.06,9.37,1.34,1.34,4.02,2.68,0,0,4.02
3Month,0,0.64,0,6.72,18.56,0,0,0,0.96,0.32,0,0,5.12,1.92,0,0.96,0.96,13.12,2.88,2.24,0,0,0,46.07,0,0,0,0,0.32,1.28,1.92,0,0,0,0.32,0.96,0
22Month,0,2.19,1.64,33.35,10.39,0,2.73,1.64,0.55,2.19,3.83,0,212.1,1.64,3.83,7.11,0,18.59,7.11,49.2,1.64,0.55,0,53.57,1.09,0.55,1.64,0.55,0,0.55,11.48,1.09,0,0,0,0,1.64
