stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0
3Month,0.32,0,0,0,0.32,5.44,0.32,0,2.56,0,0,0,1.92
22Month,0,0.55,0.55,0.55,0,2.19,0,0.55,1.64,0,0,0,1.64
