stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,0,4.09,57.21,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,4.28,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,0,13.91,0,1.07,0,111.26,8.56,0,1.07,14.98,0,0,0,0,1.07,0,0,0
21Day,2.68,0,0,1.34,0,2.68,1.34,0,0,0,0,0,1.34,0,0,0,0,12.05,0,0,0,42.83,1.34,0,2.68,12.05,1.34,0,0,1.34,0,0,0,0
3Month,0,2.56,0,7.04,0,0,1.28,2.56,1.28,0,3.2,0.96,0.32,0.96,1.28,4.16,1.28,12.8,1.6,1.92,0.96,1.6,0,1.28,0,0.64,0,21.76,0,0,0,0.32,5.12,3.52
22Month,0.55,4.92,0.55,4.37,0,0,1.64,0.55,1.09,2.73,8.2,0.55,1.09,2.19,0,1.64,2.73,14.21,0.55,1.09,0,1.09,0.55,4.92,1.09,0,0,10.39,1.09,0,0,0,0,0
