stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,32.12,0,1.34,0,0,0,0,0,0,0,0,1.34,26.77,0,1.34,1.34,1.34,2.68,1.34,0,0,0,1.34,0,2.68,0,0,0,0
3Month,0.64,1.28,0,53.11,0.32,0,0.96,0.32,3.52,1.92,10.56,1.6,0.32,2.56,2.56,1.6,83.19,0.64,0,0.32,44.15,0,0.32,0.32,0.64,0.64,72.63,0,0,0.32,6.08,2.56
22Month,0,0.55,0.55,103.86,0,0,0,0.55,1.09,5.47,16.4,4.92,0,5.47,3.28,2.73,78.72,1.64,0,0,0.55,1.09,0,0.55,0,0,8.2,0,1.09,0.55,0,2.73
