stage,Epithelial_cell,Keratinocyte,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,4.28,1.07,0,0,0
21Day,0,0,0,1.34,0,0
3Month,1.6,0,0,0,0.64,2.88
