stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,212.49,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,4.28,1.07,0,0,0,0,0,0,0,0,6.42,0,2.14,0,39.58,17.12,0,0,0,2.14,0,0,0,1.07,0,0,0
21Day,4.02,0,6.69,4.02,0,0,0,1.34,0,0,0,1.34,1.34,0,2.68,1.34,17.4,9.37,0,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0.64,0,4.16,0,0.32,0.32,0,0,6.72,0.32,0.64,0.64,2.24,0.32,2.88,0.32,1.6,0,1.28,0.32,0,0,0.32,5.12,0.96,0,0.32,0.64,1.28
22Month,0,0,0.55,0,0,0,0.55,0,3.83,0,0,0.55,0,0,0,0,0,0,0.55,0.55,1.09,0,0,0,0,0,0,0,0.55
